effect,seed,estimate,n_subjects_total,n_subjects_available,n_models_expected
aps_a0.1_coverage_gap,20260911,0.006545385517970275,80,80,5
aps_a0.1_coverage_gap,20260912,0.005919977804423792,80,80,5
aps_a0.1_coverage_gap,20260913,0.004823622580296916,80,80,5
aps_a0.1_coverage_gap,20260914,0.005569235441051151,80,80,5
aps_a0.1_coverage_gap,20260915,0.0043378116568587805,80,80,5
aps_a0.1_coverage_gap,20260916,0.004644042333767419,80,80,5
aps_a0.1_coverage_gap,20260917,0.0069350829180156275,80,80,5
aps_a0.1_coverage_gap,20260918,0.0018515980096927324,80,80,5
aps_a0.1_coverage_gap,20260919,0.004222206871919782,80,80,5
aps_a0.1_coverage_gap,20260920,0.004078377942647721,80,80,5
aps_a0.1_mean_size,20260911,5.118944151791101,80,80,5
aps_a0.1_mean_size,20260912,5.147711704001113,80,80,5
aps_a0.1_mean_size,20260913,4.975997125179488,80,80,5
aps_a0.1_mean_size,20260914,4.992590783527508,80,80,5
aps_a0.1_mean_size,20260915,5.078525825898834,80,80,5
aps_a0.1_mean_size,20260916,5.101873977099591,80,80,5
aps_a0.1_mean_size,20260917,5.066915390859574,80,80,5
aps_a0.1_mean_size,20260918,5.005349737001013,80,80,5
aps_a0.1_mean_size,20260919,4.921504870338622,80,80,5
aps_a0.1_mean_size,20260920,5.243424410118531,80,80,5
aps_a0.1_singleton_error,20260911,0.05084996037253462,80,55,5
aps_a0.1_singleton_error,20260912,0.049611676569176144,80,60,5
aps_a0.1_singleton_error,20260913,0.036792864135647724,80,63,5
aps_a0.1_singleton_error,20260914,0.041876527002098915,80,65,5
aps_a0.1_singleton_error,20260915,0.04285047181327267,80,61,5
aps_a0.1_singleton_error,20260916,0.04263441596986782,80,66,5
aps_a0.1_singleton_error,20260917,0.05393832450856373,80,66,5
aps_a0.1_singleton_error,20260918,0.05262601553421188,80,61,5
aps_a0.1_singleton_error,20260919,0.04599064619964729,80,64,5
aps_a0.1_singleton_error,20260920,0.041491652070159285,80,56,5
aps_a0.2_coverage_gap,20260911,0.008152096910852911,80,80,5
aps_a0.2_coverage_gap,20260912,0.01045833230031478,80,80,5
aps_a0.2_coverage_gap,20260913,0.006310855327430615,80,80,5
aps_a0.2_coverage_gap,20260914,0.008536236648141494,80,80,5
aps_a0.2_coverage_gap,20260915,0.00977291216501114,80,80,5
aps_a0.2_coverage_gap,20260916,0.0069117736754205645,80,80,5
aps_a0.2_coverage_gap,20260917,0.0094591140512976,80,80,5
aps_a0.2_coverage_gap,20260918,0.006354604510631163,80,80,5
aps_a0.2_coverage_gap,20260919,0.008106533942680478,80,80,5
aps_a0.2_coverage_gap,20260920,0.006136425826342237,80,80,5
aps_a0.2_mean_size,20260911,3.539086580632818,80,80,5
aps_a0.2_mean_size,20260912,3.5623985182520723,80,80,5
aps_a0.2_mean_size,20260913,3.5138047430453008,80,80,5
aps_a0.2_mean_size,20260914,3.5464844072278265,80,80,5
aps_a0.2_mean_size,20260915,3.5707431183686777,80,80,5
aps_a0.2_mean_size,20260916,3.5666300474825996,80,80,5
aps_a0.2_mean_size,20260917,3.568518660762453,80,80,5
aps_a0.2_mean_size,20260918,3.581950020192205,80,80,5
aps_a0.2_mean_size,20260919,3.4987558168274555,80,80,5
aps_a0.2_mean_size,20260920,3.61513811674225,80,80,5
aps_a0.2_singleton_error,20260911,0.0824355942840316,80,74,5
aps_a0.2_singleton_error,20260912,0.0839421584341125,80,74,5
aps_a0.2_singleton_error,20260913,0.08050207132234863,80,77,5
aps_a0.2_singleton_error,20260914,0.0844412098837454,80,75,5
aps_a0.2_singleton_error,20260915,0.07899645542982686,80,71,5
aps_a0.2_singleton_error,20260916,0.08357735791695445,80,72,5
aps_a0.2_singleton_error,20260917,0.08535372963450816,80,75,5
aps_a0.2_singleton_error,20260918,0.07837408367891897,80,75,5
aps_a0.2_singleton_error,20260919,0.09239279800739528,80,76,5
aps_a0.2_singleton_error,20260920,0.08159784599822253,80,78,5
calibration_iso_brier,20260911,-0.009035057180617798,80,80,5
calibration_iso_brier,20260912,-0.008941045744057729,80,80,5
calibration_iso_brier,20260913,-0.009076428629970648,80,80,5
calibration_iso_brier,20260914,-0.009451698680279138,80,80,5
calibration_iso_brier,20260915,-0.011410701636744947,80,80,5
calibration_iso_brier,20260916,-0.010930709823856358,80,80,5
calibration_iso_brier,20260917,-0.009360744719141927,80,80,5
calibration_iso_brier,20260918,-0.011959940280278044,80,80,5
calibration_iso_brier,20260919,-0.012310252583679685,80,80,5
calibration_iso_brier,20260920,-0.01018160458410025,80,80,5
calibration_iso_ece_15,20260911,-0.024096982978570082,80,80,5
calibration_iso_ece_15,20260912,-0.023476293678624065,80,80,5
calibration_iso_ece_15,20260913,-0.02272203231426749,80,80,5
calibration_iso_ece_15,20260914,-0.02350607914962565,80,80,5
calibration_iso_ece_15,20260915,-0.02577671457198239,80,80,5
calibration_iso_ece_15,20260916,-0.023201383712695832,80,80,5
calibration_iso_ece_15,20260917,-0.022530664971953045,80,80,5
calibration_iso_ece_15,20260918,-0.023126486234838175,80,80,5
calibration_iso_ece_15,20260919,-0.024955628699791725,80,80,5
calibration_iso_ece_15,20260920,-0.02406403419802531,80,80,5
calibration_iso_macro_f1,20260911,-0.0036959367493589294,80,80,5
calibration_iso_macro_f1,20260912,-0.003864654879146009,80,80,5
calibration_iso_macro_f1,20260913,-0.0032457269475463174,80,80,5
calibration_iso_macro_f1,20260914,-0.004594751536127468,80,80,5
calibration_iso_macro_f1,20260915,-0.004149271986244747,80,80,5
calibration_iso_macro_f1,20260916,-0.005850482574537411,80,80,5
calibration_iso_macro_f1,20260917,-0.005053780625317221,80,80,5
calibration_iso_macro_f1,20260918,-0.001337694140035101,80,80,5
calibration_iso_macro_f1,20260919,-0.004310586009410424,80,80,5
calibration_iso_macro_f1,20260920,-0.005837591772019966,80,80,5
calibration_temp_brier,20260911,0.008759224929389998,80,80,5
calibration_temp_brier,20260912,0.010547211436652427,80,80,5
calibration_temp_brier,20260913,0.014465253210284981,80,80,5
calibration_temp_brier,20260914,0.010164882664093822,80,80,5
calibration_temp_brier,20260915,0.010309224833743203,80,80,5
calibration_temp_brier,20260916,0.01293504255384252,80,80,5
calibration_temp_brier,20260917,0.011720484359731585,80,80,5
calibration_temp_brier,20260918,0.012497019168499473,80,80,5
calibration_temp_brier,20260919,0.008449026452140906,80,80,5
calibration_temp_brier,20260920,0.009811616352039162,80,80,5
calibration_temp_ece_15,20260911,0.006055789046294006,80,80,5
calibration_temp_ece_15,20260912,0.009011730333101677,80,80,5
calibration_temp_ece_15,20260913,0.013919941396539069,80,80,5
calibration_temp_ece_15,20260914,0.008728679271375434,80,80,5
calibration_temp_ece_15,20260915,0.00827769892204335,80,80,5
calibration_temp_ece_15,20260916,0.012872535605254405,80,80,5
calibration_temp_ece_15,20260917,0.011922699094958572,80,80,5
calibration_temp_ece_15,20260918,0.013398805792173068,80,80,5
calibration_temp_ece_15,20260919,0.005169646513366615,80,80,5
calibration_temp_ece_15,20260920,0.012614488321623306,80,80,5
calibration_temp_macro_f1,20260911,0.0,80,80,5
calibration_temp_macro_f1,20260912,0.0,80,80,5
calibration_temp_macro_f1,20260913,0.0,80,80,5
calibration_temp_macro_f1,20260914,0.0,80,80,5
calibration_temp_macro_f1,20260915,0.0,80,80,5
calibration_temp_macro_f1,20260916,0.0,80,80,5
calibration_temp_macro_f1,20260917,0.0,80,80,5
calibration_temp_macro_f1,20260918,0.0,80,80,5
calibration_temp_macro_f1,20260919,0.0,80,80,5
calibration_temp_macro_f1,20260920,0.0,80,80,5
leakage_reduced_protocol_brier,20260911,0.037080763884019895,30,30,5
leakage_reduced_protocol_ece_15,20260911,0.014208171911833068,30,30,5
leakage_reduced_protocol_macro_f1,20260911,-0.024230135125722904,30,30,5
leakage_reduced_protocol_nll,20260911,0.08362849682125387,30,30,5
protocol_brier,20260911,0.14886673808464784,80,80,5
protocol_brier,20260912,0.15648009803234322,80,80,5
protocol_brier,20260913,0.15153894387438097,80,80,5
protocol_brier,20260914,0.15650537380042612,80,80,5
protocol_brier,20260915,0.15734936552063986,80,80,5
protocol_brier,20260916,0.16126612400750884,80,80,5
protocol_brier,20260917,0.15791165583611427,80,80,5
protocol_brier,20260918,0.16294983674306648,80,80,5
protocol_brier,20260919,0.16246732106988,80,80,5
protocol_brier,20260920,0.1566087939211378,80,80,5
protocol_ece_15,20260911,0.041488423969398704,80,80,5
protocol_ece_15,20260912,0.04224153732342235,80,80,5
protocol_ece_15,20260913,0.04009284238379694,80,80,5
protocol_ece_15,20260914,0.04218488636599352,80,80,5
protocol_ece_15,20260915,0.04377992033782917,80,80,5
protocol_ece_15,20260916,0.04355513705235769,80,80,5
protocol_ece_15,20260917,0.04131918035967052,80,80,5
protocol_ece_15,20260918,0.040754210044343514,80,80,5
protocol_ece_15,20260919,0.04496067541099339,80,80,5
protocol_ece_15,20260920,0.043489354762526196,80,80,5
protocol_macro_f1,20260911,-0.12038299872726915,80,80,5
protocol_macro_f1,20260912,-0.12743116713935837,80,80,5
protocol_macro_f1,20260913,-0.12253109699677822,80,80,5
protocol_macro_f1,20260914,-0.12560129739130804,80,80,5
protocol_macro_f1,20260915,-0.1282534419354355,80,80,5
protocol_macro_f1,20260916,-0.13007084751764092,80,80,5
protocol_macro_f1,20260917,-0.12829032176871508,80,80,5
protocol_macro_f1,20260918,-0.1339917950274609,80,80,5
protocol_macro_f1,20260919,-0.12966064987938591,80,80,5
protocol_macro_f1,20260920,-0.12371001107985076,80,80,5
protocol_nll,20260911,0.5026875336799919,80,80,5
protocol_nll,20260912,0.5336121885844374,80,80,5
protocol_nll,20260913,0.5175211144642361,80,80,5
protocol_nll,20260914,0.5084892549739893,80,80,5
protocol_nll,20260915,0.5375619937474081,80,80,5
protocol_nll,20260916,0.5566820944067934,80,80,5
protocol_nll,20260917,0.5627875151462836,80,80,5
protocol_nll,20260918,0.5982302369204706,80,80,5
protocol_nll,20260919,0.5686670726669973,80,80,5
protocol_nll,20260920,0.5729905793859273,80,80,5
selective80_iso,20260911,-0.05275399976078013,80,80,5
selective80_iso,20260912,-0.05439860331101001,80,80,5
selective80_iso,20260913,-0.05315738426286707,80,80,5
