effect,estimate,ci_low,ci_high,sign_flip_two_sided_p,holm_adjusted_p,n_subjects_total,n_subjects_unavailable
aps_a0.1_coverage_gap,0.00489273410766442,-0.004258295856744078,0.013712540770648343,0.30093981203759246,1.0,80,0
aps_a0.1_mean_size,5.065283797581537,4.863686304107384,5.275394862815495,,,80,0
aps_a0.1_singleton_error,0.05322755425732984,0.038694011775956424,0.07076783432927317,,,80,2
aps_a0.2_coverage_gap,0.008019888535812298,-0.00582518659945665,0.021077114594590152,0.2479504099180164,1.0,80,0
aps_a0.2_mean_size,3.556351002953366,3.3821366202108254,3.7419594976922372,,,80,0
aps_a0.2_singleton_error,0.08582558765329881,0.06833017832080507,0.1069683749019776,,,80,1
calibration_iso_brier,-0.010265818386272652,-0.01621824214034904,-0.004625957840884743,0.0005998800239952009,0.06718656268746251,80,0
calibration_iso_ece_15,-0.023745630051037376,-0.030231160347824634,-0.017092140382578523,0.0001999600079984003,0.05398920215956808,80,0
calibration_iso_macro_f1,-0.004194047721974359,-0.007142136393972983,-0.0012750653465011111,0.008998200359928014,0.8818236352729454,80,0
calibration_temp_brier,0.01096589859604181,-0.0011518920130256897,0.022771992467849063,0.09458108378324336,1.0,80,0
calibration_temp_ece_15,0.010197201429672951,-0.005210795071752384,0.025637443707301318,0.254749050189962,1.0,80,0
calibration_temp_macro_f1,0.0,0.0,0.0,1.0,1.0,80,0
protocol_brier,0.15719442508901454,0.12785816287792715,0.1910947162646691,0.0001999600079984003,0.05398920215956808,80,0
protocol_ece_15,0.0423866168010332,0.03180548035066386,0.05524733031059395,0.0001999600079984003,0.05398920215956808,80,0
protocol_macro_f1,-0.1269923627463203,-0.15338604281412768,-0.10442415743178625,0.0001999600079984003,0.05398920215956808,80,0
protocol_nll,0.5459229583976536,0.3874950184291876,0.7357900846731629,0.0001999600079984003,0.05398920215956808,80,0
selective80_iso,-0.05309594156029904,-0.05907290443119772,-0.04719168739290215,0.0001999600079984003,0.05398920215956808,80,0
selective80_raw,-0.05645250666364812,-0.06292968779760767,-0.04974891635959256,0.0001999600079984003,0.05398920215956808,80,0
selective80_temp,-0.0560628326649382,-0.06302545615648601,-0.04910304616786042,0.0001999600079984003,0.05398920215956808,80,0
