scope,dataset,model,n_subjects,n_models,n_seeds_per_protocol,sample_mixed_mean_confidence,sample_mixed_accuracy,sample_mixed_confidence_gap,subject_disjoint_mean_confidence,subject_disjoint_accuracy,subject_disjoint_confidence_gap,confidence_gap_diff_subject_disjoint_minus_mixed,ci_low,ci_high,bootstrap_draws,inferential_status
model_dataset,uci_har,cnn1d,30,1,10,0.9673278854890898,0.9679684131788175,-0.00064052768972752,0.9379140963063167,0.9158785299060833,0.02203556640023309,0.022676094089960616,0.0008092634634683206,0.046538601674155286,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
model_dataset,uci_har,extra_trees,30,1,10,0.8620829473594342,0.9817747639243867,-0.11969181656495213,0.799233116045082,0.9379788961071754,-0.13874578006209332,-0.019053963497141193,-0.0334436294717497,-0.0033422769172170054,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
model_dataset,uci_har,hist_gradient_boosting,30,1,10,0.9954138636456075,0.9895849151890038,0.00582894845660351,0.9855751160684422,0.935343918937162,0.050231197131280284,0.044402248674676785,0.02891440052397494,0.06128396052481474,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
model_dataset,uci_har,logistic,30,1,10,0.9838723361840767,0.9821602276192228,0.0017121085648538655,0.9757572061615077,0.9441964271815305,0.031560778979977035,0.02984867041512317,0.01378004343426651,0.05450144569390022,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
model_dataset,uci_har,random_forest,30,1,10,0.8837504945046977,0.9753070022709566,-0.0915565077662587,0.8282778917478839,0.9247824463917681,-0.09650455464388437,-0.004948046877625664,-0.016666332974256678,0.006896194355595424,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
model_dataset,wisdm_watch_accel,cnn1d,50,1,10,0.7253001371059371,0.7656429200503628,-0.04034278294442536,0.5317506757681714,0.5098006412666014,0.021950034501569942,0.06229281744599531,0.01756639171873373,0.11194976900312967,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
model_dataset,wisdm_watch_accel,extra_trees,50,1,10,0.668936693584532,0.8225735588360388,-0.15363686525150655,0.5552716313695988,0.631222500482924,-0.07595086911332526,0.07768599613818129,0.04609543921962144,0.11456927671865284,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
model_dataset,wisdm_watch_accel,hist_gradient_boosting,50,1,10,0.8854077597821757,0.8455064630993534,0.0399012966828221,0.8234374687997743,0.6420888682362667,0.1813486005635077,0.14144730388068566,0.10824371266175753,0.18140491186378302,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
model_dataset,wisdm_watch_accel,logistic,50,1,10,0.6767926132277773,0.7114334053260535,-0.03464079209827612,0.6968125895255153,0.6069749889450108,0.08983760058050447,0.12447839267878061,0.0894927263793395,0.16511762418454065,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
model_dataset,wisdm_watch_accel,random_forest,50,1,10,0.6699304947313514,0.8221199741995864,-0.15218947946823505,0.5666484950506367,0.6412795656144985,-0.0746310705638616,0.07755840890437343,0.047582484169942915,0.11100252578122305,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
dataset,uci_har,all,30,5,10,0.9384895054365813,0.9793590644364775,-0.0408695589998962,0.9053514852658465,0.9316360437047438,-0.02628455843889745,0.01458500056099874,0.0015160634055812702,0.029459518392903283,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
dataset,wisdm_watch_accel,all,50,5,10,0.7252735396863547,0.7934552643022791,-0.0681817246159242,0.6347841721027393,0.6062733129090603,0.02851085919367906,0.09669258380960326,0.0654251683884873,0.13342734051264366,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
pooled_equal_dataset,all,all,80,5,10,0.831881522561468,0.8864071643693783,-0.0545256418079102,0.7700678286842929,0.7689546783069021,0.0011131503773907994,0.055638792185300996,0.03808001970585842,0.07599130273252772,5000,secondary_descriptive_pointwise_ci_no_multiplicity_test
