scope,dataset,model,seed,method,metric,leakage_reduced_minus_sample_mixed,lrm_ci_low,lrm_ci_high,subject_disjoint_minus_leakage_reduced,residual_ci_low,residual_ci_high,subject_disjoint_minus_sample_mixed,total_ci_low,total_ci_high,overlap_component_fraction_of_total_abs,residual_fraction_of_total_abs,n_subjects,n_models,bootstrap_draws,inferential_status
model,uci_har,cnn1d,20260911,raw,macro_f1,-0.036796457235709484,-0.05618075224299035,-0.019652596440729777,-0.01713142060888632,-0.03662302216023843,-0.0013839636196543144,-0.0539278778445958,-0.08611076608202932,-0.026358575022685606,0.6823271878367992,0.3176728121632008,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,cnn1d,20260911,raw,brier,0.05626536500005066,0.028848136863528533,0.09242875018110047,0.024809609044805392,0.00229899877265994,0.055253212368469876,0.08107497404485606,0.04239458110202214,0.12730682389297512,0.6939917732063772,0.3060082267936228,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,cnn1d,20260911,raw,nll,0.12221390199317271,0.04670125856270655,0.22939836293267082,0.07113340585151257,-0.01666542516261771,0.21315612785434215,0.19334730784468526,0.07187683229332704,0.36484957340433954,0.6320951833027145,0.36790481669728553,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,cnn1d,20260911,raw,ece_15,0.03176370568347734,0.019404224107411924,0.04779817128238147,0.020957678990589607,0.005527859340982933,0.03963097424922112,0.052721384674066944,0.03342731036013332,0.07524375957485498,0.6024823869829342,0.3975176130170658,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,cnn1d,20260911,raw,confidence_gap,0.013515913103127929,-0.0024645326743395553,0.03103261497386298,0.001098134419660294,-0.017222138209748928,0.021150826182560117,0.014614047522788226,-0.010270757331605436,0.04078623524510138,0.9248576126533095,0.07514238734669039,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,extra_trees,20260911,raw,macro_f1,-0.02131158226151576,-0.030062940518772056,-0.013121476235881595,-0.02744250575557322,-0.04403857452792304,-0.013074362644194959,-0.04875408801708899,-0.07027938844708183,-0.030061526506942157,0.43712400597147366,0.5628759940285262,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,extra_trees,20260911,raw,brier,0.02962056062326118,0.023287802725964615,0.0367169496543517,0.03904470360570716,0.028681145887641358,0.051362143002476136,0.06866526422896833,0.05490815473765705,0.08437556295730682,0.4313761980801485,0.5686238019198515,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,extra_trees,20260911,raw,nll,0.04612676119247371,0.03818612795809807,0.05497834787033177,0.06577528609125737,0.050579687349900454,0.0826492509246296,0.11190204728373108,0.09305073813652398,0.13301103654179525,0.412206588817074,0.5877934111829259,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,extra_trees,20260911,raw,ece_15,0.006631178234732822,-0.0007168284387838621,0.01291632031092213,0.017635311776611453,0.007395190252885343,0.027015994175127567,0.02426649001134428,0.01085352794111252,0.03663536110369746,0.2732648286436493,0.7267351713563505,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,extra_trees,20260911,raw,confidence_gap,-0.005326065357982515,-0.011986973265244314,0.001867632967117641,-0.01343246383905549,-0.025562247798503284,-0.00026950742368507774,-0.018758529197038003,-0.03437531875939296,-0.0019544775990468495,0.28392766309330414,0.716072336906696,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,hist_gradient_boosting,20260911,raw,macro_f1,-0.025225181790637385,-0.03763510428567519,-0.01480292549436492,-0.022882043252738182,-0.03603812010146086,-0.011031062465166133,-0.04810722504337557,-0.06770155461598805,-0.031299847650913946,0.524353291379689,0.4756467086203109,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,hist_gradient_boosting,20260911,raw,brier,0.04644530784063423,0.02667682271381441,0.07001676058853357,0.03534629693996291,0.016989638342949392,0.05674663482038111,0.08179160478059713,0.05163905504358277,0.11398081349946129,0.5678493283659368,0.4321506716340633,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,hist_gradient_boosting,20260911,raw,nll,0.1508074286182656,0.07639608338587482,0.2410315141045211,0.1378313504316394,0.04002270321367888,0.2612009030094228,0.28863877904990504,0.1536461108134956,0.4530067386781443,0.5224780575731001,0.4775219424268998,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,hist_gradient_boosting,20260911,raw,ece_15,0.021929394065909817,0.011570301078582526,0.03439527847782994,0.014516533375987555,0.005003778423576836,0.024670147839441662,0.03644592744189736,0.022472873309164632,0.05251630426106282,0.6016966943939067,0.3983033056060935,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,hist_gradient_boosting,20260911,raw,confidence_gap,0.0222848327702747,0.011876847991873746,0.03429867303163906,0.013790881915474484,0.004446669819494945,0.024075514213499998,0.03607571468574919,0.02184735583370721,0.05317244106579122,0.6177239443319404,0.3822760556680594,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,logistic,20260911,raw,macro_f1,-0.01422338147253089,-0.02131586680389355,-0.008458998639699055,-0.027242955246128058,-0.05581612982452143,-0.007415842987818895,-0.04146633671865896,-0.071354789865633,-0.020772544966631244,0.3430103210957305,0.6569896789042692,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,logistic,20260911,raw,brier,0.023111049469941695,0.013177854833916562,0.03481812095025542,0.038857802386182944,0.008905808285283635,0.08339030641368056,0.06196885185612465,0.03195540400138896,0.10741893793818398,0.37294622665592486,0.627053773344075,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,logistic,20260911,raw,nll,0.053730316231954775,0.024166642859717806,0.09054488733272072,0.12442452437784383,0.013488729772407013,0.2922480381703114,0.17815484060979855,0.06938463337295639,0.34153901550371196,0.30159335580242214,0.6984066441975783,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,logistic,20260911,raw,ece_15,0.008284752676198336,0.003284477127878732,0.013951416615140846,0.01596073589713876,0.0011018575976809379,0.03882532291278974,0.024245488573337085,0.010385788778605787,0.045646245647033915,0.3417028554049899,0.6582971445950105,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,logistic,20260911,raw,confidence_gap,0.011816853713788777,0.00584143355768075,0.0190396508309593,0.01666012855554688,0.0012097397006599158,0.0404846046085956,0.02847698226933565,0.01276656243617452,0.052690472373354225,0.41496158553686724,0.585038414463133,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,random_forest,20260911,raw,macro_f1,-0.023594072868220996,-0.03203034865806969,-0.01574499881803525,-0.02983986622334632,-0.044062718427632194,-0.01686153696669781,-0.05343393909156733,-0.07260034827024466,-0.03681784939876207,0.4415559337257337,0.558444066274266,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,random_forest,20260911,raw,brier,0.02996153648621169,0.02222284972668609,0.038082538922011515,0.037307107601457265,0.026191440373266185,0.04974629210241314,0.06726864408766896,0.0522938494904205,0.08459655270115594,0.445401225081389,0.554598774918611,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,random_forest,20260911,raw,nll,0.04526407607040249,0.03566066026961147,0.056130868903318205,0.0636393199209011,0.04609988347220465,0.08325285594890869,0.1089033959913036,0.08618764700051273,0.13228330440269506,0.4156351200840148,0.5843648799159852,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,random_forest,20260911,raw,ece_15,0.0024318288988470185,-0.0030443571696602673,0.00791752165523135,0.012654985202462051,0.0049825953372629956,0.020181602890592287,0.01508681410130907,0.005526128150306733,0.024304170151698702,0.16118902788336278,0.8388109721166372,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
model,uci_har,random_forest,20260911,raw,confidence_gap,0.0035932744898702607,-0.004363178767007656,0.012304718867116201,-0.007967320424040601,-0.017285254969240018,0.0017232830482615301,-0.004374045934170341,-0.017688340050142193,0.009764499079734833,0.821499029491062,1.8214990294910618,30,1,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
pooled_equal_model,uci_har,all,20260911,raw,macro_f1,-0.024230135125722894,-0.03408322816991768,-0.015854556169802074,-0.024907758217334423,-0.04036029395759912,-0.012938645295371198,-0.04913789334305732,-0.07024164579874052,-0.03188771589568314,0.49310488255081786,0.5068951174491821,30,5,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
pooled_equal_model,uci_har,all,20260911,raw,brier,0.0370807638840199,0.024182393154325323,0.052593547870184366,0.03507310391562313,0.019632276352784646,0.055985865544247476,0.07215386779964302,0.049650719922741615,0.10129020551327376,0.5139123516841236,0.4860876483158766,30,5,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
pooled_equal_model,uci_har,all,20260911,raw,nll,0.0836284968212539,0.0476184793639993,0.12933407592602458,0.09256077733463086,0.034822798485648,0.18072452123031213,0.1761892741558847,0.10228787781264562,0.2769755865068566,0.47465146344415377,0.5253485365558466,30,5,5000,secondary_descriptive_arithmetic_decomposition_not_causal_attribution
