dataset,metric,model,sample_mixed_value,sample_mixed_rank,subject_disjoint_value,subject_disjoint_rank,rank_change_disjoint_minus_mixed,spearman_rank_correlation_all_5_models,spearman_rank_correlation_4_classical_models,inferential,note
uci_har,macro_f1,cnn1d,0.9689498574487732,5.0,0.9113297067824688,5.0,0.0,0.7,0.39999999999999997,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,macro_f1,extra_trees,0.981907114964216,3.0,0.9328526123365646,2.0,-1.0,0.7,0.39999999999999997,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,macro_f1,hist_gradient_boosting,0.9897440214165352,1.0,0.9289763805791538,3.0,2.0,0.7,0.39999999999999997,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,macro_f1,logistic,0.982886349632394,2.0,0.9395561047032616,1.0,-1.0,0.7,0.39999999999999997,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,macro_f1,random_forest,0.9749272035815056,4.0,0.9156934381230248,4.0,0.0,0.7,0.39999999999999997,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,brier,cnn1d,0.0472661431518309,3.0,0.1336795591042598,3.0,0.0,0.8999999999999998,0.7999999999999999,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,brier,extra_trees,0.0670336881462745,5.0,0.1359474791367197,5.0,0.0,0.8999999999999998,0.7999999999999999,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,brier,hist_gradient_boosting,0.0167576820856158,1.0,0.1124996401752712,2.0,1.0,0.8999999999999998,0.7999999999999999,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,brier,logistic,0.0281311835207595,2.0,0.0915709792480248,1.0,-1.0,0.8999999999999998,0.7999999999999999,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,brier,random_forest,0.0620541071397425,4.0,0.1342506784396556,4.0,0.0,0.8999999999999998,0.7999999999999999,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,nll,cnn1d,0.0821729778430659,3.0,0.2707936769183595,3.0,0.0,-0.09999999999999999,-0.19999999999999998,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,nll,extra_trees,0.1670240410724203,5.0,0.2793133999597638,4.0,-1.0,-0.09999999999999999,-0.19999999999999998,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,nll,hist_gradient_boosting,0.0355258155102928,1.0,0.3639519644479875,5.0,4.0,-0.09999999999999999,-0.19999999999999998,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,nll,logistic,0.0564143042451712,2.0,0.247628379715379,1.0,-1.0,-0.09999999999999999,-0.19999999999999998,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,nll,random_forest,0.1473556976450632,4.0,0.2617459060044242,2.0,-2.0,-0.09999999999999999,-0.19999999999999998,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,ece_15,cnn1d,0.0235055692784371,3.0,0.0753078989358983,3.0,0.0,0.8999999999999998,0.7999999999999999,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
uci_har,ece_15,extra_trees,0.1200322660747924,5.0,0.1435267088348921,5.0,0.0,0.8999999999999998,0.7999999999999999,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
