dataset,model,protocol,method,alpha,nominal_coverage,coverage,mean_size,median_size,singleton_fraction,empty_fraction,full_error,singleton_error,n_subjects_total,n_subjects_available_coverage,n_subjects_available_mean_size,n_subjects_available_median_size,n_subjects_available_singleton_fraction,n_subjects_available_empty_fraction,n_subjects_available_full_error,n_subjects_available_singleton_error
uci_har,cnn1d,leakage_reduced_mixed,raw,0.1,0.9,0.9041867506464222,3.1252334093930707,3.466666666666667,0.11496706220793688,0.09129309215105018,0.06864801916433867,0.0004830917874396135,30,30,30,30,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,raw,0.2,0.8,0.8017707575829687,2.258720522827569,2.2333333333333334,0.1563695093401017,0.19124755381311456,0.06864801916433867,0.018024691358024692,30,30,30,30,30,30,30,30
uci_har,cnn1d,sample_mixed,raw,0.1,0.9,0.9000031143985185,3.1131201755254634,3.295,0.14549128216374235,0.09998502320527745,0.032031586821182616,0.0,30,30,30,30,30,30,30,30
uci_har,cnn1d,sample_mixed,raw,0.2,0.8,0.7993199488709302,2.575294115810697,2.4116666666666666,0.1655629361466549,0.20061360909879067,0.032031586821182616,0.0,30,30,30,30,30,30,30,30
uci_har,cnn1d,subject_disjoint,raw,0.1,0.9,0.8963595585838668,3.1902364455074284,3.6166666666666667,0.10936140195573966,0.10211066390707993,0.0841214700939164,0.009306540391775944,30,30,30,30,30,30,30,30
uci_har,cnn1d,subject_disjoint,raw,0.2,0.8,0.7933373743067181,2.3113663788348684,2.4233333333333333,0.14427791007065768,0.2014112700796206,0.0841214700939164,0.019437152600965728,30,30,30,30,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,raw,0.1,0.9,0.9186561003483832,1.4101849095785608,1.2333333333333334,0.49902127332875146,0.059003924344549166,0.04108026109807034,0.046950959115200704,30,30,30,30,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,raw,0.2,0.8,0.8206589506826236,1.1491614608633431,1.0333333333333334,0.5601512192986586,0.15305463011904838,0.04108026109807034,0.04740188367484114,30,30,30,30,30,30,30,30
uci_har,extra_trees,sample_mixed,raw,0.1,0.9,0.9078083940705394,1.359989319296967,1.1733333333333333,0.5020868442882946,0.08180368979860692,0.018225236075613476,0.021680766750920902,30,30,30,30,30,30,30,30
uci_har,extra_trees,sample_mixed,raw,0.2,0.8,0.810280184719563,1.1046962055283527,1.0,0.5542085870215107,0.17783206826765505,0.018225236075613476,0.021534011020752312,30,30,30,30,30,30,30,30
uci_har,extra_trees,subject_disjoint,raw,0.1,0.9,0.9027310969114333,1.4448138893610243,1.415,0.46660519071214346,0.06766174678103666,0.0620211038928246,0.062238053626631706,30,30,30,30,30,30,30,30
uci_har,extra_trees,subject_disjoint,raw,0.2,0.8,0.803098195819816,1.1772750839110273,1.0816666666666668,0.5217475607829344,0.16147845800253213,0.0620211038928246,0.06681237719569702,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,leakage_reduced_mixed,raw,0.1,0.9,0.9009416350552212,2.6153720151330173,2.3833333333333333,0.2688514702862438,0.09894262420403807,0.03718581583250989,0.0,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,leakage_reduced_mixed,raw,0.2,0.8,0.8029938833527054,2.1629415467984674,1.6166666666666667,0.3029464371125155,0.1968903759065538,0.03718581583250989,0.0,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,raw,0.1,0.9,0.9024455678812223,2.5096673480715475,2.268333333333333,0.2902072527217206,0.09754285804470368,0.010415084810996185,0.0,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,raw,0.2,0.8,0.8018513910658106,2.059228881889696,1.54,0.3171956089089281,0.19813703486011533,0.010415084810996185,0.0,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,raw,0.1,0.9,0.900300054004055,2.796959091594772,2.8466666666666667,0.24967512811909434,0.09843178125858167,0.06465608106283818,0.005927620438769668,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,raw,0.2,0.8,0.8005692455036094,2.3900114016994256,2.1566666666666667,0.2571980042742833,0.19669925164867852,0.06465608106283818,0.011379320116107471,30,30,30,30,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,raw,0.1,0.9,0.8965013717827155,1.579413145311848,1.5333333333333334,0.39871709626279556,0.10041346938835559,0.03210669712846756,0.00818037725947793,30,30,30,30,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,raw,0.2,0.8,0.7933019168164616,1.2354718758807237,1.1,0.45140896910386524,0.2009339277264202,0.03210669712846756,0.014197341078446163,30,30,30,30,30,30,30,30
