family,scope,dataset_scope,model_scope,effect,estimand,kind,n_subjects_total,n_subjects_available,n_subjects_unavailable,n_datasets_total,n_datasets_available,n_seeds_expected,n_models_expected,n_models_available_min,n_models_available_max,model_availability_policy,n_seeds_available_min,n_seeds_available_max,draws,estimate,ci_low,ci_high,n_subjects,n_datasets,sign_flip_two_sided_p,undefined_reason,estimand_population,holm_adjusted_p,multiplicity_family,n_hypotheses_planned,n_hypotheses_testable
expanded_secondary,dataset,uci_har,all,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.0004383721060224978,-0.013466289016320611,0.01429078892217431,30,1,0.9530093981203759,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.009347096109306343,-0.003716773631514003,0.02100034393428532,50,1,0.14877024595080984,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,2.128459877282061,2.0343062297897285,2.2316353812628207,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,8.002107717881012,7.61731078436654,8.414146003803543,50,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,30,30,0,1,1,10,5,5,5,all_required_models,4,10,5000,0.03374952120065351,0.021888677372882057,0.04724518158609573,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,50,48,2,1,1,10,5,2,5,all_required_models,0,10,5000,0.07270558731400617,0.04716714176843069,0.10618551815291588,48,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.0006322689099306461,-0.019347259879169076,0.020946273161600068,30,1,0.9540091981603679,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.01540750816169395,-0.0038732553277814117,0.03301867366297714,50,1,0.10797840431913618,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,aps_a0.2_mean_size,aps_a0.2_mean_size,descriptive,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,1.6892305194629436,1.590646597495059,1.792568672805864,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,aps_a0.2_mean_size,aps_a0.2_mean_size,descriptive,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,5.423471486443788,5.093727310949873,5.781494759258281,50,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,aps_a0.2_singleton_error,aps_a0.2_singleton_error,descriptive,30,30,0,1,1,10,5,5,5,all_required_models,9,10,5000,0.043643374849604594,0.028321699738950434,0.06197211692195706,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,aps_a0.2_singleton_error,aps_a0.2_singleton_error,descriptive,50,49,1,1,1,10,5,4,5,all_required_models,0,10,5000,0.12800780045699303,0.09721912436801186,0.16477375768825553,49,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,calibration_iso_brier,calibration_iso_brier,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.006902914620248115,-0.013761650720750624,-2.549277470430731e-06,30,1,0.06678664267146571,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,calibration_iso_brier,calibration_iso_brier,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.013628722152297188,-0.023912684200515667,-0.004987920613796793,50,1,0.0027994401119776045,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.2911417716456709,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,calibration_iso_ece_15,calibration_iso_ece_15,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.027112196489215645,-0.03512130808405019,-0.01826107411406692,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,calibration_iso_ece_15,calibration_iso_ece_15,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.020379063612859107,-0.030741817158868413,-0.011117839047852572,50,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
