family,scope,dataset_scope,model_scope,effect,estimand,kind,n_subjects_total,n_subjects_available,n_subjects_unavailable,n_datasets_total,n_datasets_available,n_seeds_expected,n_models_expected,n_models_available_min,n_models_available_max,model_availability_policy,n_seeds_available_min,n_seeds_available_max,draws,estimate,ci_low,ci_high,n_subjects,n_datasets,sign_flip_two_sided_p,undefined_reason,estimand_population,holm_adjusted_p,multiplicity_family,n_hypotheses_planned,n_hypotheses_testable
expanded_secondary,pooled,all,all,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,80,80,0,2,2,10,5,5,5,all_required_models,10,10,5000,0.00489273410766442,-0.004258295856744078,0.013712540770648343,80,2,0.30093981203759246,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,pooled,all,all,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,80,80,0,2,2,10,5,5,5,all_required_models,10,10,5000,5.065283797581537,4.863686304107384,5.275394862815495,80,2,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,pooled,all,all,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,80,78,2,2,2,10,5,2,5,all_required_models,0,10,5000,0.05322755425732984,0.038694011775956424,0.07076783432927317,78,2,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,pooled,all,all,aps_a0.2_coverage_gap,aps_a0.2_coverage_gap,contrast,80,80,0,2,2,10,5,5,5,all_required_models,10,10,5000,0.008019888535812298,-0.00582518659945665,0.021077114594590152,80,2,0.2479504099180164,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,pooled,all,all,aps_a0.2_mean_size,aps_a0.2_mean_size,descriptive,80,80,0,2,2,10,5,5,5,all_required_models,10,10,5000,3.556351002953366,3.3821366202108254,3.7419594976922372,80,2,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,pooled,all,all,aps_a0.2_singleton_error,aps_a0.2_singleton_error,descriptive,80,79,1,2,2,10,5,4,5,all_required_models,0,10,5000,0.08582558765329881,0.06833017832080507,0.1069683749019776,79,2,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,pooled,all,all,calibration_iso_brier,calibration_iso_brier,contrast,80,80,0,2,2,10,5,5,5,all_required_models,10,10,5000,-0.010265818386272652,-0.01621824214034904,-0.004625957840884743,80,2,0.0005998800239952009,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.06718656268746251,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,pooled,all,all,calibration_iso_ece_15,calibration_iso_ece_15,contrast,80,80,0,2,2,10,5,5,5,all_required_models,10,10,5000,-0.023745630051037376,-0.030231160347824634,-0.017092140382578523,80,2,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,pooled,all,all,calibration_iso_macro_f1,calibration_iso_macro_f1,contrast,80,80,0,2,2,10,5,5,5,all_required_models,10,10,5000,-0.004194047721974359,-0.007142136393972983,-0.0012750653465011111,80,2,0.008998200359928014,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.8818236352729454,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,pooled,all,all,calibration_temp_brier,calibration_temp_brier,contrast,80,80,0,2,2,10,5,5,5,all_required_models,10,10,5000,0.01096589859604181,-0.0011518920130256897,0.022771992467849063,80,2,0.09458108378324336,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,pooled,all,all,calibration_temp_ece_15,calibration_temp_ece_15,contrast,80,80,0,2,2,10,5,5,5,all_required_models,10,10,5000,0.010197201429672951,-0.005210795071752384,0.025637443707301318,80,2,0.254749050189962,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
