family,scope,dataset_scope,model_scope,effect,estimand,kind,n_subjects_total,n_subjects_available,n_subjects_unavailable,n_datasets_total,n_datasets_available,n_seeds_expected,n_models_expected,n_models_available_min,n_models_available_max,model_availability_policy,n_seeds_available_min,n_seeds_available_max,draws,estimate,ci_low,ci_high,n_subjects,n_datasets,sign_flip_two_sided_p,undefined_reason,estimand_population,holm_adjusted_p,multiplicity_family,n_hypotheses_planned,n_hypotheses_testable
expanded_secondary,model,all,logistic,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,0.0036365748818964986,-0.016930406870812254,0.021416039782447528,80,2,0.7182563487302539,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,random_forest,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,0.013256351413215076,0.0011122661101365858,0.025026970102306846,80,2,0.03179364127174565,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,extra_trees,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,0.009803811681505846,-0.0028461730836957222,0.02247297055944896,80,2,0.14957008598280344,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,hist_gradient_boosting,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,-0.002169659890283558,-0.01637135636715784,0.010968880940292693,80,2,0.7616476704659069,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,cnn1d,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,-6.340754801176219e-05,-0.015907092031718067,0.015090236902289368,80,2,0.9926014797040592,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,logistic,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,-0.008600975907355833,-0.0397792058872828,0.01931654894565604,30,1,0.6242751449710058,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,random_forest,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.011402126938113296,-0.008464221793665405,0.030040555771640595,30,1,0.2641471705658868,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,extra_trees,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.002731096911433291,-0.017215847048379862,0.022436842350243222,30,1,0.7884423115376925,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,hist_gradient_boosting,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.00030005400405500846,-0.024767544629584946,0.023190508219168345,30,1,0.9814037192561488,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,cnn1d,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,-0.003640441416133272,-0.028786150057005837,0.020561457819845277,30,1,0.7822435512897421,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,logistic,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.01587412567114883,-0.009624253617577702,0.037135787446169924,50,1,0.19816036792641473,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,random_forest,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.015110575888316857,0.0005882496857130151,0.028523193312992814,50,1,0.03819236152769446,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,extra_trees,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.0168765264515784,-0.0006021571799255269,0.032600176824161435,50,1,0.04839032193561288,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,hist_gradient_boosting,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,-0.004639373784622124,-0.01849273055037457,0.008622426072649183,50,1,0.485502899420116,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,cnn1d,aps_a0.1_coverage_gap,aps_a0.1_coverage_gap,contrast,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,0.0035136263201097475,-0.016670456708279952,0.020543267119078536,50,1,0.7220555888822235,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,logistic,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,4.8838306071338,4.6909760865428725,5.0829538638235165,80,2,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,random_forest,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,4.1659658349690485,3.9189251365869597,4.423130066285501,80,2,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,extra_trees,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,3.944814431259174,3.6997710865867344,4.194565958406032,80,2,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,hist_gradient_boosting,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,6.320788442585515,5.988524858628238,6.658168094222226,80,2,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,cnn1d,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,80,80,0,2,2,10,1,1,1,all_required_models,10,10,5000,6.01101967196015,5.821129632325919,6.20380545762846,80,2,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,logistic,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,1.6357501495913134,1.521205028172904,1.759883670175782,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,random_forest,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,1.5745398103557693,1.4868273366591025,1.6713788260178213,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,extra_trees,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,1.4448138893610243,1.3724984295121465,1.5227072865044171,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,hist_gradient_boosting,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,2.796959091594772,2.5849688123853185,3.011788571128215,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,uci_har,cnn1d,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,30,30,0,1,1,10,1,1,1,all_required_models,10,10,5000,3.1902364455074284,3.0516756297690533,3.333141129896932,30,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,logistic,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,8.131911064676286,7.7691381950767315,8.50489391464949,50,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,random_forest,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,6.757391859582327,6.2880335484712315,7.279533740615306,50,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,extra_trees,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,6.444814973157324,5.977309086722841,6.945291254984646,50,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,hist_gradient_boosting,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,9.844617793576258,9.22483947531587,10.505801345098153,50,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model_dataset,wisdm_watch_accel,cnn1d,aps_a0.1_mean_size,aps_a0.1_mean_size,descriptive,50,50,0,1,1,10,1,1,1,all_required_models,10,10,5000,8.831802898412871,8.4823605154897,9.197607658129975,50,1,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,logistic,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,80,80,0,2,2,10,1,1,1,all_required_models,5,10,5000,0.0767729598386817,0.05016952083981005,0.10734981538402928,80,2,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,model,all,random_forest,aps_a0.1_singleton_error,aps_a0.1_singleton_error,descriptive,80,78,2,2,2,10,1,0,1,all_required_models,0,10,5000,0.06213002197049311,0.0418418278524388,0.08917855413976246,78,2,,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
