effect,n_seeds_planned,n_seeds_available,mean,sd,median,q25,q75,iqr,q025,q975,positive_fraction,negative_fraction,zero_fraction,direction_consistency,interpretation
aps_a0.1_coverage_gap,10,10,0.004892734107664419,0.0014587355043752625,0.004733832457032168,0.0042511080681545315,0.005832292213580632,0.0015811841454261002,0.0023526234946076047,0.0068474010030054235,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
aps_a0.1_mean_size,10,10,5.065283797581538,0.09454310101811512,5.072720608379203,4.995780521895884,5.1146766081182236,0.11889608622233983,4.933765627677817,5.221889051242112,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
aps_a0.1_singleton_error,10,10,0.04586625541751801,0.005643628438700212,0.044420559006459984,0.04206599924404114,0.050540389421695,0.008474390177653862,0.03785009142091283,0.05364305498933456,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
aps_a0.2_coverage_gap,10,10,0.008019888535812297,0.0015581822561106535,0.008129315426766695,0.006493896801828513,0.009228394700508572,0.002734497898680059,0.006175672464087122,0.010304112769871462,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
aps_a0.2_mean_size,10,10,3.556351002953366,0.03355170172525896,3.5645142828673357,3.54093603728157,3.5701870039671215,0.029250966685551383,3.5021418252264707,3.60767079501849,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
aps_a0.2_singleton_error,10,10,0.08316133045900645,0.0039826599334400895,0.08300647610049303,0.0807760149913171,0.08431644702133717,0.003540432030020066,0.07851411732287325,0.09080900762349568,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
calibration_iso_brier,10,10,-0.010265818386272652,0.0012899648296092283,-0.009816651632189694,-0.0112907036835228,-0.009147507652263468,0.002143196031259332,-0.012231432315414317,-0.008962198317283744,0.0,1.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
calibration_iso_ece_15,10,10,-0.02374563005103738,0.0010081662930311402,-0.023491186414124857,-0.02408874578343389,-0.02314521060430259,0.0009435351791312989,-0.02559197025073949,-0.022573722623973794,0.0,1.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
calibration_iso_macro_f1,10,10,-0.004194047721974359,0.0013239245521536513,-0.004229928997827585,-0.0049390233530197825,-0.003738116281805699,0.0012009070712140834,-0.005847582143970986,-0.001767001521725124,0.0,1.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
calibration_temp_brier,10,10,0.010965898596041808,0.0019096627967132636,0.010428218135197814,0.009899932930052827,0.0123028854663075,0.002402952536254674,0.008518821109521952,0.014120955812585427,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
calibration_temp_ece_15,10,10,0.01019720142967295,0.0031580776204223225,0.010467214714030126,0.008390444009376372,0.012808023784346631,0.0044175797749702594,0.0053690285832752776,0.013802685885556719,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
