dataset,model,protocol,method,target_coverage,coverage,selective_error,full_error,n_subjects_total,n_subjects_available_coverage,n_subjects_available_selective_error,n_subjects_available_full_error
uci_har,cnn1d,leakage_reduced_mixed,iso,0.5,0.6803746244644969,0.018448758856819868,0.07057730817794122,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,iso,0.6,0.7176194583829549,0.018784483910583613,0.07057730817794122,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,iso,0.7,0.7612331317086479,0.025728083300330183,0.07057730817794122,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,iso,0.8,0.844066451640298,0.026918636343682613,0.07057730817794122,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,iso,0.9,0.8936952492419248,0.034373314971408914,0.07057730817794122,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,iso,1.0,0.9984361663436181,0.06979741427992013,0.07057730817794122,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,raw,0.5,0.5087602084645846,0.002134591078420192,0.06864801916433866,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,raw,0.6,0.6059344045565501,0.007885935059848104,0.06864801916433866,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,raw,0.7,0.7009160182235976,0.007708254954937655,0.06864801916433866,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,raw,0.8,0.7839920470780395,0.01951451663488576,0.06864801916433866,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,raw,0.9,0.8916099592112499,0.029779520446017383,0.06864801916433866,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,raw,1.0,0.9995940966767773,0.06863633518732513,0.06864801916433866,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,temp,0.5,0.5089447316377769,0.0016352475465952654,0.06864801916433866,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,temp,0.6,0.6037192301428504,0.00763978263978264,0.06864801916433866,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,temp,0.7,0.6992463464894165,0.007807167003524815,0.06864801916433866,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,temp,0.8,0.7835106688625214,0.019394850963244482,0.06864801916433866,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,temp,0.9,0.8917029384398852,0.030011620621351424,0.06864801916433866,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,temp,1.0,0.9994759938801031,0.06852222075245253,0.06864801916433866,30,30,30,30
uci_har,cnn1d,sample_mixed,iso,0.5,0.7639408372717672,0.0015012884335416062,0.031896033370292766,30,30,30,30
uci_har,cnn1d,sample_mixed,iso,0.6,0.7668326447635265,0.001492128466456257,0.031896033370292766,30,30,30,30
uci_har,cnn1d,sample_mixed,iso,0.7,0.7735661680529257,0.001553630035414563,0.031896033370292766,30,30,30,30
uci_har,cnn1d,sample_mixed,iso,0.8,0.8253198289141708,0.0028667068063054587,0.031896033370292766,30,30,30,30
uci_har,cnn1d,sample_mixed,iso,0.9,0.9141966029794253,0.008865652199620083,0.031896033370292766,30,30,30,30
uci_har,cnn1d,sample_mixed,iso,1.0,0.999714784390663,0.03172601505047013,0.031896033370292766,30,30,30,30
uci_har,cnn1d,sample_mixed,raw,0.5,0.4985199018048961,5.3411880216003926e-05,0.03203158682118261,30,30,30,30
uci_har,cnn1d,sample_mixed,raw,0.6,0.6001909581683477,7.67488456549816e-05,0.03203158682118261,30,30,30,30
uci_har,cnn1d,sample_mixed,raw,0.7,0.6997140404708845,0.0002024944014650301,0.03203158682118261,30,30,30,30
uci_har,cnn1d,sample_mixed,raw,0.8,0.7995985827087803,0.0014933729220047954,0.03203158682118261,30,30,30,30
uci_har,cnn1d,sample_mixed,raw,0.9,0.898384952751621,0.007514235195734783,0.03203158682118261,30,30,30,30
uci_har,cnn1d,sample_mixed,raw,1.0,0.9994707437744536,0.03169340496801128,0.03203158682118261,30,30,30,30
uci_har,cnn1d,sample_mixed,temp,0.5,0.4984252478185882,5.3303655107778816e-05,0.03203158682118261,30,30,30,30
uci_har,cnn1d,sample_mixed,temp,0.6,0.6001410505319184,7.692464819357028e-05,0.03203158682118261,30,30,30,30
uci_har,cnn1d,sample_mixed,temp,0.7,0.6997870497715333,0.00020256821963611109,0.03203158682118261,30,30,30,30
uci_har,cnn1d,sample_mixed,temp,0.8,0.799642698610636,0.001495870217436788,0.03203158682118261,30,30,30,30
uci_har,cnn1d,sample_mixed,temp,0.9,0.8984412276591021,0.007539698797540507,0.03203158682118261,30,30,30,30
uci_har,cnn1d,sample_mixed,temp,1.0,0.999487620229915,0.031710839496887765,0.03203158682118261,30,30,30,30
uci_har,cnn1d,subject_disjoint,iso,0.5,0.7040827248979785,0.03799332814036221,0.08889197167265975,30,30,30,30
uci_har,cnn1d,subject_disjoint,iso,0.6,0.7479010923544923,0.03848894290401086,0.08889197167265975,30,30,30,30
uci_har,cnn1d,subject_disjoint,iso,0.7,0.8021027162597181,0.040211612447855025,0.08889197167265975,30,30,30,30
uci_har,cnn1d,subject_disjoint,iso,0.8,0.872287827458789,0.04656177648659783,0.08889197167265975,30,30,30,30
uci_har,cnn1d,subject_disjoint,iso,0.9,0.92321432214293,0.06286636896307339,0.08889197167265975,30,30,30,30
uci_har,cnn1d,subject_disjoint,iso,1.0,0.9987765747804266,0.08850575076125883,0.08889197167265975,30,30,30,30
uci_har,cnn1d,subject_disjoint,raw,0.5,0.4956889187287549,0.009089900604457468,0.0841214700939164,30,30,30,30
uci_har,cnn1d,subject_disjoint,raw,0.6,0.5964675597544018,0.01712316496202874,0.0841214700939164,30,30,30,30
uci_har,cnn1d,subject_disjoint,raw,0.7,0.7019504497250958,0.025033853128849884,0.0841214700939164,30,30,30,30
uci_har,cnn1d,subject_disjoint,raw,0.8,0.8042814381104232,0.035243551743677846,0.0841214700939164,30,30,30,30
uci_har,cnn1d,subject_disjoint,raw,0.9,0.900532218661796,0.05537481403004637,0.0841214700939164,30,30,30,30
uci_har,cnn1d,subject_disjoint,raw,1.0,0.9985831633199403,0.08370260648423612,0.0841214700939164,30,30,30,30
uci_har,cnn1d,subject_disjoint,temp,0.5,0.49420520868530143,0.0089596102604774,0.0841214700939164,30,30,30,30
uci_har,cnn1d,subject_disjoint,temp,0.6,0.5940321228595139,0.01679573466056067,0.0841214700939164,30,30,30,30
uci_har,cnn1d,subject_disjoint,temp,0.7,0.7024270014015213,0.024863769341324334,0.0841214700939164,30,30,30,30
uci_har,cnn1d,subject_disjoint,temp,0.8,0.805185403137307,0.03500365727094664,0.0841214700939164,30,30,30,30
uci_har,cnn1d,subject_disjoint,temp,0.9,0.9006658322210844,0.05562227852615742,0.0841214700939164,30,30,30,30
uci_har,cnn1d,subject_disjoint,temp,1.0,0.9985553864769493,0.08361877804275415,0.0841214700939164,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,iso,0.5,0.7677628175760023,0.005935255052532528,0.04256595873037688,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,iso,0.6,0.7677628175760023,0.005935255052532528,0.04256595873037688,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,iso,0.7,0.7768629935127375,0.00589528200560272,0.04256595873037688,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,iso,0.8,0.8271311390320705,0.006903523279103388,0.04256595873037688,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,iso,0.9,0.8945947690139907,0.014321784716505618,0.04256595873037688,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,iso,1.0,0.9990478602380474,0.04229254658381435,0.04256595873037688,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,raw,0.5,0.5077533116012544,0.00041890384665266,0.04108026109807033,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,raw,0.6,0.6003912283967896,0.0003650793650793651,0.04108026109807033,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,raw,0.7,0.7006090983248263,0.001954066662137549,0.04108026109807033,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,raw,0.8,0.7932030322572332,0.0036895988998592766,0.04108026109807033,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,raw,0.9,0.8998104090302422,0.011777071777059797,0.04108026109807033,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,raw,1.0,0.9993494004661152,0.04068817294553324,0.04108026109807033,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,temp,0.5,0.5034190675829928,0.0004221263449451369,0.04108026109807033,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,temp,0.6,0.5970167691040217,0.0005172989209033263,0.04108026109807033,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,temp,0.7,0.6950558482524,0.0012548220975413253,0.04108026109807033,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,temp,0.8,0.792815476392045,0.0030686079040160973,0.04108026109807033,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,temp,0.9,0.8970607728437802,0.010709370735223033,0.04108026109807033,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,temp,1.0,0.9996769434269434,0.04100581954635606,0.04108026109807033,30,30,30,30
uci_har,extra_trees,sample_mixed,iso,0.5,0.8807363132938814,0.0025790474785976412,0.01807706960372742,30,30,30,30
uci_har,extra_trees,sample_mixed,iso,0.6,0.8807363132938814,0.0025790474785976412,0.01807706960372742,30,30,30,30
uci_har,extra_trees,sample_mixed,iso,0.7,0.8807363132938814,0.0025790474785976412,0.01807706960372742,30,30,30,30
uci_har,extra_trees,sample_mixed,iso,0.8,0.8815178183667435,0.0025754862220523974,0.01807706960372742,30,30,30,30
uci_har,extra_trees,sample_mixed,iso,0.9,0.9139720875008693,0.0029858854342172734,0.01807706960372742,30,30,30,30
uci_har,extra_trees,sample_mixed,iso,1.0,0.9994566557173488,0.01778965449270544,0.01807706960372742,30,30,30,30
uci_har,extra_trees,sample_mixed,raw,0.5,0.5015103574562636,0.0,0.01822523607561348,30,30,30,30
uci_har,extra_trees,sample_mixed,raw,0.6,0.6021097750582517,1.86219739292365e-05,0.01822523607561348,30,30,30,30
uci_har,extra_trees,sample_mixed,raw,0.7,0.6999300047500623,6.465973940141125e-05,0.01822523607561348,30,30,30,30
uci_har,extra_trees,sample_mixed,raw,0.8,0.7999804921796763,0.00027651727174476243,0.01822523607561348,30,30,30,30
uci_har,extra_trees,sample_mixed,raw,0.9,0.8988945428358383,0.001614141662386076,0.01822523607561348,30,30,30,30
uci_har,extra_trees,sample_mixed,raw,1.0,0.9995665031747046,0.01802718292194726,0.01822523607561348,30,30,30,30
uci_har,extra_trees,sample_mixed,temp,0.5,0.4972427173151227,0.0,0.01822523607561348,30,30,30,30
uci_har,extra_trees,sample_mixed,temp,0.6,0.5972729916073688,0.0,0.01822523607561348,30,30,30,30
uci_har,extra_trees,sample_mixed,temp,0.7,0.697960451704161,4.975371909050201e-05,0.01822523607561348,30,30,30,30
uci_har,extra_trees,sample_mixed,temp,0.8,0.7976615646772046,0.0002028841045899648,0.01822523607561348,30,30,30,30
uci_har,extra_trees,sample_mixed,temp,0.9,0.8980952200358842,0.0015797589262293878,0.01822523607561348,30,30,30,30
uci_har,extra_trees,sample_mixed,temp,1.0,0.9995104169606324,0.018033837659005222,0.01822523607561348,30,30,30,30
uci_har,extra_trees,subject_disjoint,iso,0.5,0.6503549240294741,0.012587264599635625,0.062093555799410935,30,30,30,30
uci_har,extra_trees,subject_disjoint,iso,0.6,0.657242439080296,0.01279325288758087,0.062093555799410935,30,30,30,30
uci_har,extra_trees,subject_disjoint,iso,0.7,0.7092708720723634,0.013662816309085684,0.062093555799410935,30,30,30,30
uci_har,extra_trees,subject_disjoint,iso,0.8,0.8012056806829513,0.020180409828804237,0.062093555799410935,30,30,30,30
uci_har,extra_trees,subject_disjoint,iso,0.9,0.9025256850298252,0.03387650169778448,0.062093555799410935,30,30,30,30
uci_har,extra_trees,subject_disjoint,iso,1.0,0.9989338738754596,0.061640530164432696,0.062093555799410935,30,30,30,30
uci_har,extra_trees,subject_disjoint,raw,0.5,0.4934074435738946,0.003749403146715707,0.06202110389282459,30,30,30,30
uci_har,extra_trees,subject_disjoint,raw,0.6,0.5868577002166009,0.005992314010400782,0.06202110389282459,30,30,30,30
uci_har,extra_trees,subject_disjoint,raw,0.7,0.6859550347832161,0.00943650224770435,0.06202110389282459,30,30,30,30
uci_har,extra_trees,subject_disjoint,raw,0.8,0.790158785131999,0.017249813471461522,0.06202110389282459,30,30,30,30
uci_har,extra_trees,subject_disjoint,raw,0.9,0.897206302523857,0.033446029671164494,0.06202110389282459,30,30,30,30
uci_har,extra_trees,subject_disjoint,raw,1.0,0.9984003595556733,0.06112479741294928,0.06202110389282459,30,30,30,30
uci_har,extra_trees,subject_disjoint,temp,0.5,0.489098527947735,0.004253867738131944,0.06202110389282459,30,30,30,30
uci_har,extra_trees,subject_disjoint,temp,0.6,0.586504640787274,0.005849248080961413,0.06202110389282459,30,30,30,30
uci_har,extra_trees,subject_disjoint,temp,0.7,0.6883834115892898,0.008931981060182193,0.06202110389282459,30,30,30,30
uci_har,extra_trees,subject_disjoint,temp,0.8,0.7923099026098909,0.015490506557309667,0.06202110389282459,30,30,30,30
uci_har,extra_trees,subject_disjoint,temp,0.9,0.8941981305171164,0.02978687223884568,0.06202110389282459,30,30,30,30
uci_har,extra_trees,subject_disjoint,temp,1.0,0.9988020422006522,0.06135664314423584,0.06202110389282459,30,30,30,30
