family,scope,dataset_scope,model_scope,effect,estimand,kind,n_subjects_total,n_subjects_available,n_subjects_unavailable,n_datasets_total,n_datasets_available,n_seeds_expected,n_models_expected,n_models_available_min,n_models_available_max,model_availability_policy,n_seeds_available_min,n_seeds_available_max,draws,estimate,ci_low,ci_high,n_subjects,n_datasets,sign_flip_two_sided_p,undefined_reason,estimand_population,holm_adjusted_p,multiplicity_family,n_hypotheses_planned,n_hypotheses_testable
temporal_overlap_supplement,pooled,all,all,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,0.037080763884019895,0.024131984919490028,0.05258881396145204,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,cnn1d,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.056265365000050666,0.028810475380338173,0.09237638818905525,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,extra_trees,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.02962056062326118,0.02344023171730819,0.036555079256695086,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,hist_gradient_boosting,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.04644530784063423,0.02613158823427241,0.07019878136008886,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,logistic,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.0231110494699417,0.013241629353810116,0.03485344856916129,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,random_forest,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.029961536486211682,0.022543075131510375,0.03845153861726449,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,dataset,uci_har,all,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,0.037080763884019895,0.024131984919490028,0.05258881396145204,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,cnn1d,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.056265365000050666,0.028810475380338173,0.09237638818905525,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,extra_trees,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.02962056062326118,0.02344023171730819,0.036555079256695086,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,hist_gradient_boosting,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.04644530784063423,0.02613158823427241,0.07019878136008886,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,logistic,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.0231110494699417,0.013241629353810116,0.03485344856916129,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,random_forest,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.029961536486211682,0.022543075131510375,0.03845153861726449,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,pooled,all,all,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,0.014208171911833068,0.009550139098664695,0.02025008424829281,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,cnn1d,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.03176370568347735,0.019298311154300578,0.04862028319897457,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,extra_trees,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.006631178234732821,-0.0005693029352523325,0.01303977800013411,30,1,0.07098580283943211,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.28394321135772843,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,hist_gradient_boosting,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.021929394065909817,0.011674937411374205,0.03402270134797838,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
